Sentences,Naive Bayes,KNN,Decision Tree,Logistic Regression,Perceptron Model,Random Forest,SVM,sum count,Company,True Label,Classified by Hand,Pattern Recognition,Issues / Comments
"TotalEnergies allocated $100 million to CCS research and projects in 2021, and by 2030 it expects to be expanding storage capacity by around 10 Mt annually.",0,0,1,0,0,0,0,1,Total,rel,irr,,need more context
"To that, we add phased targets for reducing methane emissions (50% from 2020 levels by 2025 and 80% from 2020 levels by 2030) to move towards zero methane and an objective of less than 0.1 million cubic meters per day for routine gas flaring at our operated assets by 2025, before eliminating flaring com- pletely by 2030.",0,1,0,0,0,0,0,1,Total,rel,rel,,
• 300 service stations on motorways and major roads and 600 urban service stations with high power chargers (HPC) by 2030 to support e-mobility travel in Europe.,0,0,1,0,0,0,0,1,Total,rel,rel,,
"Under the agreement, more than 15 Mt of CO2 equivalent will be prevented over ten years.",0,0,1,0,0,0,0,1,Total,rel,rel,,
"• In Belgium, the Company and its partners are studying the CO2 Antwerp@C project to collect and transport CO2 emissions from the Antwerp industrial port.",0,0,0,1,0,0,0,1,Total,rel,rel,,
"To reach our net emissions targets, nature based solutions (NBS1) will, by 2030, offset some of our emissions (5 to 10 Mt/y).",0,0,1,0,0,0,0,1,Total,rel,rel,,
"• Demand for natural gas would stand at 29 Mboe/day, down 57% from 2019.",1,0,0,0,0,0,0,1,Total,irr,irr,,
- 52 53 The Covid-19 pandemic has had a profound impact on our communities since the start of 2020.,0,0,1,0,0,0,0,1,Total,irr,irr,,
"Working for a just transition, together with our stakeholders Since our climate ambition is intrinsically linked to our sustain- able development ambition, you will also find a discussion of our efforts to have a positive impact, initiated with our stake- holders, based on dialogue and transparency.",0,0,0,0,1,0,0,1,Total,irr,irr,,
"— TotalEnergies, working with Engie, is developing the MassHylia green hydrogen project at the La Mède biorefinery.",0,0,0,0,1,0,0,1,Total,rel,rel,green hydrogen key words,
That’s the equivalent of removing 4.32 million cars from our highways or planting 335 million trees.,0,0,0,0,1,0,1,2,UnionPacific,rel,rel,,
Additional management actions have allowed us to further reduce overall locomotive energy consumption by 1.5% from 2018 to 2020.,0,0,1,0,0,0,0,1,UnionPacific,rel,rel,,
We believe that investment by us and others in the rail industry is required to develop this technology.,0,0,0,0,1,0,0,1,UnionPacific,irr,irr,,
"We completed a similar project in our North Platte Supply Department, replacing 47 fixtures to save annually approximately 100,000 kWh.",0,0,1,0,0,0,0,1,UnionPacific,rel,rel,past tense + measurable accomplishments (i.e. numbers),
The extent to which other countries implement that accord could also have an adverse direct or indirect effect on us.,1,1,0,0,0,0,0,2,UPS,irr,irr,,
2035 We have seen a 14% reduction in CO2e per package from 2010 to 2020.,0,0,1,0,0,0,0,1,UPS,rel,rel,,
Visa Foundation also will allocate $140 million with investment partners using a gender lens to help SMBs grow and thrive.,0,0,1,0,0,0,0,1,VIsa,irr,irr,,
"Scope 3, Category 8 (upstream, leased assets) Metric tons CO2e Included in Scope 1 or Scope 2 emissions reporting.",1,1,1,1,1,1,1,7,3M,irr,irr,CO2 emissions reporting,
"In this context we announced three new industry-leading environmental goals in October 2020: achieve net-zero emissions by 2025, move to zero waste and plan for water risk.",1,0,1,1,1,1,1,6,Accenture,rel,rel,,
"At the end of FY21, we achieved 41% and 97% (COVID-19 related), respectively.",0,1,1,1,0,1,1,5,Adobe,rel,rel,,context related
"The projects create enough energy to power 440,000 homes and, most importantly, will save PSO and SWEPCO customers in Oklahoma, Louisiana and Arkansas an estimated $3 billion, net of cost, in electricity costs over the next 30 years.",1,1,0,1,1,1,1,6,AEP,irr,irr,,
"AWS is focused on efficiency and continuous innovation across our global infrastructure, as we continue on our path to powering our operations with 100% renewable energy by 2025.",1,1,1,1,1,1,1,7,Amazon,irr,rel,,
A third of this improvement reflects a shift in customer and employee behavior due to the COVID-19 pandemic.,1,1,1,1,1,1,1,7,Amazon,rel,irr,,
Amazon is sharing the project with Arlington County through a public- private partnership.,1,1,0,1,1,1,1,6,Amazon,rel,irr,,
Market-based scope 2 GHG emissions are presented here.,1,1,1,1,1,1,1,7,AmericanTowerCorp,irr,irr,,
"Additionally, in 2021 the Science Based Targets initiative (SBTi) approved our targets to reduce scope 1, 2 and 3 emissions by 40% by 2035 compared to a 2019 baseline.",1,1,1,1,1,1,1,7,AmericanTowerCorp,irr,rel,,
"GHG emissions data for 2019, 2020 and 2021 have been adjusted to account for American Tower’s growth by acquisitions in accordance with The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (Revised Edition) (GHG Protocol).",1,1,1,1,1,1,1,7,AmericanTowerCorp,irr,rel,,
This metric is tracked in absolute terms as opposed to percentage.,1,1,1,1,1,1,1,7,AmericanTowerCorp,irr,rel,,
"“It Nevertheless, as of January 1, 2022, Barrera’s team has placed orders for 195 electric vehicles, which have been assigned to field staff",1,0,1,1,1,1,1,6,Amgen,rel,irr,,
Apple is carbon neutral for corporate emissions as of April 2020.,1,1,1,1,1,1,1,7,Apple,irr,rel,,
"The five Green Source Rider Maiden, North Carolina: Grid mix vs. Apple-sourced renewable energy Electricity use in fiscal year 2021: 392 million kWh We now operate eight data centers, and more are being developed.",1,1,1,1,1,1,1,7,Apple,irr,rel,,
doing our part to fight climate change.,1,1,1,1,1,1,1,7,Apple,rel,irr,,partial sentence
Our goal is to one day achieve independence from mined resources.,1,1,1,1,1,1,1,7,Apple,irr,irr,,
"5: Supply chain renewable electricity capacity (operational) and renewable electricity use for FY2021 do not include REC purchases Apple made, equivalent to 0.3 GW and 500,000 MWh, respectively, to address a small increase to its carbon footprint.",1,1,1,1,1,1,1,7,Apple,irr,rel,,
"In addition to these savings, Apple further reduced its energy use by adjusting lighting and climate controls during the periods of reduced occupancy resulting from the COVID-19 pandemic.14 A more energy-efficient supply chain The energy used to manufacture Apple products accounts for 70 percent of Apple’s gross carbon footprint.",1,0,0,1,1,1,1,5,Apple,irr,rel,,
"It is registered with REDD+, a United Nations–backed program that aims to stop the destruction of forests.",0,0,1,1,1,1,1,5,BookingHoldings,rel,rel,,general description
"Read more: bp.com/ESGdata a Operational control data comprises 100% of emissions from activities operated by bp, going beyond the IPIECA guidelines by including emissions from certain other activities such as contracted drilling activities.",1,1,1,1,1,1,1,7,BP,irr,rel,,
They enable us to strengthen our balance sheet and high-grade or diversify our portfolio.,1,1,1,1,1,1,1,7,BP,rel,irr,,
"We consider that it makes sense to account for carbon credits directly related to our business, for example where carbon credits are bundled with the energy we sell, and looking ahead we plan to do so.",1,1,1,1,1,1,1,7,BP,irr,rel,carbon credits,
"c The share of energy is based on the total energy associated with sales of marketed energy products, with electricity represented as fossil equivalence of sold energy.",1,1,1,1,1,1,1,7,BP,irr,irr,,
e Previously 50% cumulative reduction in the average emissions intensity of marketed energy products against the 2019 baseline.,1,1,1,1,1,1,1,7,BP,irr,rel,,
"Divestments are, and continue to be, an important part of our strategy.",1,1,1,1,1,1,1,7,BP,rel,irr,,
These emissions were 54.4MtCO2e in 2019.,1,1,1,1,0,1,1,6,BP,irr,rel,,
We are on track with 4.4GW brought to FID by end of 2021 and 23GW in the pipeline.,1,1,1,1,1,0,1,6,BP,rel,rel,,
"b Methane intensity is currently calculated using our existing methodology and, while it reflects progress in reducing methane emissions, will not directly correlate with progress towards delivering the 2025 target under aim 4. c Methane intensity based on our new measurement approach which we aim to have in place by the end of 2023. d Reduction in methane intensity based on our new measurement approach which we aim to have in place by the end of 2023.",1,1,0,1,1,1,1,6,BP,irr,rel,methane intensity,
• Total hydrocarbons flared increased from 831kt to 967kt in 2021 due to operational variances including temporary flaring associated with a new production start-up.,0,1,1,1,1,1,1,6,BP,rel,rel,,
Net zero operations« Our aim 1 is to be net zero across our entire operations on an absolute basis by 2050 or sooner.,1,1,0,1,1,1,1,6,BP,irr,rel,,
"Our ambition is to be a net zero company by 2050 or sooner, and to help the world get to net zero.",0,0,1,1,1,1,1,5,BP,rel,rel,,
"In the UK in January 2022, we were successful in the ScotWind licensing round with our partner EnBW, adding 1.5GW net to our pipeline.",0,0,1,1,1,1,1,5,BP,rel,rel,,
"In 2020, bp established a NOJV centre of excellence, which provides support to teams in bp who work with our NOJVs, including support for their efforts to influence in relation to reducing methane emissions and overall sustainability management.",0,1,1,0,1,1,1,5,BP,irr,rel,methane emissions,
"Resilient hydrocarbons We are high-grading our portfolio, lowering our emissions and driving returns, through three focus areas: oil and gas, refining and bioenergy.",1,1,1,0,1,1,0,5,BP,irr,rel,,
"VFDs are used to control the speed of alternating current (AC) motors by varying the frequency supplied to the motor, therefore limiting the amount of electricity usage in the building.",0,1,1,1,1,1,1,6,Broadcom,rel,rel,,
The Cat 992 Large Wheel Loader has set the standard in its size class for more than 50 years.,1,1,1,1,1,1,1,7,Caterpillar,rel,irr,,
"Product take-back by weight 7, 8 millions of pounds of end-of-life material received 155 153 131 127 Product take-back by percentage 7, 8 % of actual end-of-life returns/eligible returns 92% 91% 89% 88%",1,1,1,1,1,1,1,7,Caterpillar,rel,irr,,
"ENERGY, FUEL ECONOMY & EMISSIONS",1,1,0,1,1,1,1,6,Caterpillar,irr,irr,,header?
"Repower upgrades meet or exceed current emissions standards in certain regions while improving reliability, reducing exhaust emissions and maximizing fuel economy.",1,1,0,1,1,1,1,6,Caterpillar,irr,rel,,
"For example, renewable liquid fuels like hydrotreated vegetable oil (HVO) are being used in our C175-20 engines to provide stand by power at a Microsoft data center in Sweden.",1,1,0,1,1,1,1,6,Caterpillar,rel,rel,hydrotreated vegetable oil,
"The 795 electric drive mining truck with a diesel-electric drivetrain has been paired with a trolley-assist system that allows the truck to use electric power while traveling uphill, and then switch back to diesel operation if electricity isn’t readily available.",0,1,1,1,1,1,1,6,Caterpillar,rel,rel,,
"Because packaging accounts for almost one-third of our overall carbon footprint, virtually everything we do toward our World Without Waste initiative also helps to achieve our science-based target.",1,0,0,1,1,1,1,5,CocaCola,rel,rel,,
"Based on total capital invested in Crown Castle assets that are located within, or provide service coverage (entirely or partially) to, US Census blocks with 2021 median household income at or below $50,000, which is the threshold to qualify for federal student aid.",1,1,1,0,1,1,0,5,CrownCastle,irr,irr,,
We’ve committed to achieving these goals within four-year (2026) and eight-year (2030) periods.,1,1,1,1,1,1,1,7,Deere,irr,rel,,
And we are on a path to exceed this goal.,0,1,1,1,1,1,1,6,Deere,rel,irr,,General information perhaps useful in context.
"Currently, fleet renewal is our greatest opportunity to improve our fuel efficiency and emissions intensity, and we have established sustainability considerations as one of the core pillars that guide our fleet strategy and our capital allocation decisions with respect to fleet.",1,1,1,1,1,1,1,7,Delta,rel,irr,,
"Additionally, Delta will continue to seek to collaborate with governments, airports and others on cross-industry initiatives.",1,1,1,1,1,1,1,7,Delta,rel,rel,,
"Our ability to achieve our ambitious climate goals is dependent on the actions of governments and third parties and will require, among other things, significant capital investment, including from third parties, research and development from manufacturers and other stakeholders, along with government policies and incentives to reduce the cost, and incent production, of SAF and other technologies that are not presently in existence or available at scale.",1,1,1,1,1,1,1,7,Delta,rel,rel,,
"As of April 2022, 19% of Delta's ground support equipment has been electrified.",1,1,1,1,1,1,1,7,Delta,rel,rel,,
"One example of this ongoing collaboration is through the NextGen Advisory Committee, which provides independent advice and recommendations to the FAA related to air traffic management.",1,1,1,1,1,1,1,7,Delta,rel,irr,,
Going forward we expect much of the remaining spend in support of this goal to be focused on solutions other than offsets as we seek to advance our decarbonization pathway.,1,1,1,1,1,1,1,7,Delta,rel,irr,,
"E.g., investments in communications technologies and APU procedure compliance.",1,1,1,1,1,1,1,7,Delta,rel,irr,,
"E.g., investments in split-scimitar winglets and blade-tip coating research with the U.S. Air Force.",1,1,1,1,1,1,1,7,Delta,rel,irr,,
"HISTORICAL EMISSIONS DATA* GHG Emissions Inventory (metric tons) using IPCC AR5 GWP 2019 (CO2e) 2020 (CO2e) 2021 (CO2e) 2021 (CO2 Only) SCOPE 1 Jet Fuel – Mainline Delta 34,967,854 15,681,970 22,647,716 22,510,910 Jet Fuel – Wholly-Owned Subsidiaries 2,181,283 1,342,575 1,745,400 1,734,856 Ground operations (GSE fuel use) 97,316 78,848 76,586 76,356 Ground operations (non-GSE) 81,968 71,512 91,554 86,482 TOTAL SCOPE 1 37,328,421 17,174,905 24,561,255 24,408,604 SCOPE 2 Electricity – Direct Billed facilities 152,849 136,612 113,738 113,737 Electricity – Leased facilities 105,701 99,833 94,574 93,516 Natural Gas – Leased facilities 37,339 37,631 37,907 37,795 TOTAL SCOPE 2 295,889 274,076 246,219 245,048 SCOPE 3 Jet Fuel – Regional Partner Airlines 3,438,873 1,603,209 2,353,044 2,338,830 SUM OF EMISSIONS 41,063,183 19,052,190 27,160,518 26,992,482 SAF Fuel – Mainline Delta 2,481 2,481 Offsets 1,707,302 12,960,000 26,993,120 26,993,120 NET EMISSIONS 39,355,881 6,092,190** 164,917 – Other Scope 3 – Jet Fuel Well-to-Tank 9,454,455 4,332,747 6,208,048 6,170,547 Totals may not sum due to rounding",1,1,1,1,0,1,1,6,Delta,irr,rel,,
This system takes advantage of the FAA’s NextGen airspace modernization initiative and can shorten flight times by 3-5 minutes.,1,0,1,1,1,1,1,6,Delta,rel,irr,,
Offsets that meet ICAO’s criteria will be used to achieve this obligation.,0,1,1,1,0,1,1,5,Delta,rel,rel,offsets,not sure whether using offsets would help
"For this fleet type, these winglets are expected to yield an annual fuel savings of 8M gallons.",0,1,1,1,1,0,1,5,Delta,rel,irr,,
"Following 2035, we envision availability of next-generation aircraft technology such as the deployment of novel airframe designs and advanced propulsion technologies that could continue to improve fuel efficiency.",0,1,1,1,0,1,1,5,Delta,rel,irr,,
�� Variable Weight: Reducing the weight that is boarded on the plane.,0,0,1,1,1,1,1,5,Delta,rel,irr,,
"These fuels, coupled with the use of direct air capture of carbon at the SAF production facility, have the potential to achieve life cycle emissions reductions beyond the 80% maximum estimated today.",1,0,0,1,1,1,1,5,Delta,irr,rel,,
"In 2021, we recorded zero – globally.",1,1,0,1,1,1,0,5,Dow,irr,irr,,incomplete sentence
And are on pace to achieve our goals of at least 50% reduction by 2030 and net-zero by 2050 from electricity generation and net-zero methane emissions in the natural gas business by 2030.,1,1,1,1,1,1,1,7,Duke_Energy,irr,rel,,
The fund raised $1 million more in its inaugural year than we raised the previous year.,1,0,1,1,1,1,1,6,Duke_Energy,irr,irr,,
Cross-compression technology is being used in certain operational activities such as decommissioning a pipe or in-line inspections to eliminate the release of natural gas to the atmosphere or flaring the natural gas.,0,1,1,1,1,1,1,6,Duke_Energy,rel,irr,,
We’ve eliminated cast iron and bare steel pipe from our system.,0,1,1,1,1,1,1,6,Duke_Energy,rel,irr,,
This gives us an opportunity to grow our clean energy portfolio – with part of that new generation helping lower emissions in the transportation sector.,1,1,1,1,0,1,1,6,Duke_Energy,irr,irr,,
"Natural Gas Operations (throughput)3 ■ Regulated natural gas transmission and distribution services to approximately 1.6 million customers in the Carolinas, Tennessee, southwestern Ohio and Northern Kentucky ■ Maintains more than 34,800 miles of natural gas transmission and distribution pipelines and 27,700 miles of natural gas service pipelines and 4 BCF on-system liquified natural gas (LNG) storage Commercial Renewables Generation Diversity (percent owned capacity)1,4 Commercial Renewables primarily acquires, develops, builds and operates wind and solar renewable generation throughout the continental U.S.",1,0,0,1,1,1,1,5,Duke_Energy,irr,irr,,
"In 2021, CO2 emissions were somewhat higher than in 2020 due to increased generation as the economy began to rebound, though the long-term reduction trend continued.",1,0,0,1,1,1,1,5,Duke_Energy,irr,rel,,
These fuels are being replaced by cleaner natural gas and renewables.,0,1,0,1,1,1,1,5,Duke_Energy,rel,rel,,
Lilly is continuously working to reduce our GHG emissions within our operations and along our value chain.,1,1,1,1,1,1,1,7,EliLilly,irr,irr,,not specific
"Offsetting remaining emissions and energy sources that could not be reduced or replaced, by purchasing emissions offsets from high-quality, third-party veri�ed carbon reduction projects (note: it is not currently possible to eliminate all emissions sources or transition all direct energy supplies to renewable sources).",1,1,1,1,1,1,1,7,EliLilly,irr,rel,,
"emissions each year, measured as carbon dioxide equivalents.",1,1,1,1,1,1,1,7,EliLilly,irr,rel,,incomplete sentence
"We plan to increase the amount of renewable electricity utilized as we advance new projects, including solar arrays at our sites in Puerto Rico and France, and an expansion to our solar array in Kinsale, Ireland, and another solar array in Alcobendas, Spain.",1,1,1,1,1,1,1,7,EliLilly,irr,rel,,
"Our current initiatives include: Designing for energy e�ciency in new or updated processes and facilities Operating our facilities and equipment in increasingly e�cient ways Facilitating the use of advanced energy monitoring and control solutions Conducting and acting on energy assessments and implementing recommended projects to improve energy e�ciency Evaluating and incorporating alternative energy sources, new technologies and best practices for energy use and GHG emission reductions Participating in local, regional and national forums to understand and integrate energy management best practices and to support responsible and cost-effective decision-making and policy development (e.g., the U.S. Environmental Protection Agency’s ENERGY STAR Pharmaceutical Focus Group) Climate Highlights Recent Energy Initiatives HVAC Systems Optimization – Sites in Alcobendas, Spain, Fegersheim, France and Indianapolis in the U.S. have completed initiatives to decrease energy consumed in HVAC systems.",1,1,0,1,1,0,1,5,EliLilly,irr,rel,,
"For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering.",0,1,1,1,0,1,1,5,EliLilly,rel,rel,,
"For transportation and distribution-related emissions (Scope 3), we are focusing on improving data quality to enable better decision making and maximize efficiency.",1,1,1,1,1,1,1,7,EsteeLauder,rel,rel,,
"Upon completion of the PTS expansion for which PT-FI will have majority ownership and the construction of the new greenfield smelter at Gresik, GHG emissions for smelting and refining are expected to shift from Scope 3 to Scopes 1 or 2, and we will adjust our target and baseline in line with the GHG Protocol at such time.",1,1,1,1,1,1,1,7,FreeportMcmoran,irr,rel,GHG protocol,
ASSET OPTIMIZATION EFFORTS HAVE: Improved the average cycle-time of our haulage fleets at our Americas operations by more than 3 minutes.,1,1,1,1,1,1,1,7,FreeportMcmoran,rel,irr,,
"While we plan to initially use biodiesel to fuel the DFPP, we are studying the feasibility of switching the fuel supply to LNG, which could further reduce GHG emissions and provide other benefits, including potential energy cost savings.",1,1,1,1,1,1,1,7,FreeportMcmoran,irr,rel,,
FCX reports carbon emissions on 100% operational basis per the WRI/WBCSD GHG Protocol.,1,0,1,1,1,1,1,6,FreeportMcmoran,irr,rel,carbon emissions,
• Supported regenerative agricultural practices in collaboration with partners and suppliers.,1,1,1,1,1,1,1,7,Hershey,rel,rel,,
Energy Star-labeled clothes dryers use 20% less electricity.,1,1,1,1,0,1,1,6,HomeDepot,irr,rel,,
"in 2020, compared to the year before, according to the SEIA/Wood Mackenzie U.S.",1,0,1,1,1,1,1,6,HomeDepot,irr,irr,,seems incomplete
"An excellent example is our Solstice® line of low global warming potential refrigerants, propellants, and solvents.",1,1,1,1,1,1,1,7,Honeywell,rel,rel,,
"In 2021, for example, for application in our late-stage product portfolio, we achieved process intensification and highly efficient processes via biocatalysis and organocatalysis.",1,0,1,1,1,1,1,6,johnsonandjohnson,rel,rel,,
and materials will be scaling and the feasibility for as an agent of decarbonization in multiple applications will be growing.,1,1,1,1,1,1,1,7,Linde,rel,irr,,
Results were also impacted by increased direct emissions resulting from facilities and the startup of several new plants.,1,1,1,1,0,1,1,6,Linde,irr,rel,,
"This performance improvement was achieved by defining and improving best practices, particularly in U.S. electronics and reductions in refrigerants due to improved reporting.",1,1,0,1,1,0,1,5,Linde,rel,irr,,
"This In 2021, the facilities teams called our Go Green gated capital cycle.",1,0,1,1,1,1,1,6,Lockheed,rel,irr,,
"These include green buildings, technologies and social programs such as Mastercard Impact Fund, COVID-19 response, and others with a commercially sustainable impact.",1,1,1,1,1,1,1,7,Mastercard,rel,irr,,
"SCOPE 1 AND 2 EMISSIONS 2016–2021 MTCO2e SCOPE 3 EMISSIONS 2016–2021 MTCO2e 2025 TARGET 2025 TARGET 2016 99,214 2016 849,277 2017 71,504 2017 490,706 2018 495,962 2019 503,012 2020 366,143 2021 494,564 Scope 3 Scope 1 Scope 2 4,486 94,728 64,917 52,859 52,141 52,538 48,974 2021 54,138 2018 57,687 2019 56,898 2020 55,759 6,587 4,828 5,164 3,221 4,758 Operational footprint Our focus has been, and continues to be, on decarbonization.",1,1,1,1,1,1,1,7,Mastercard,irr,rel,,
"We To further our efforts to promote environmental stewardship and inclusive growth, we issued our first-ever Sustainability Bond in March 2021.",1,1,1,1,0,1,1,6,Mastercard,rel,rel,,
"the approximate carbon impact of their monthly card spend in their issuer’s mobile banking app, cardholders can choose to donate to forest restoration initiatives that achieve significant impact by counterbalancing CO2.",1,1,1,1,0,1,1,6,Mastercard,rel,rel,,
"Mastercard’s efforts to help consumers understand how their purchases impact the environment include our Carbon Calculator, which was launched in collaboration with the Swedish fintech Doconomy.",1,1,0,1,1,1,1,6,Mastercard,rel,irr,,
Mastercard’s Donate technology helps power the Priceless Planet Coalition by enabling consumers to donate directly to its mission to restore 100 million trees by 2025.,1,1,0,1,1,1,1,6,Mastercard,irr,rel,,
Our analysis shows that our Scope 3 GHG emissions impacts are nearly three times greater than our combined Scope 1 and Scope 2 emissions.,1,1,1,1,1,1,1,7,Merck,irr,rel,,
"In 2020, our Scope 3 GHG emissions increased slightly as compared to 2019.",1,1,1,1,1,1,1,7,Merck,irr,rel,,
Community-based reforestation Taking Root’s CommuniTree reforestation in Nicaragua —the largest such project in the country—partners with farming families to help develop sustainable livelihoods by growing native tree species on marginal farmland.,1,1,1,1,1,1,1,7,Microsoft,rel,rel,,
"Like our earlier commitments, this on an annual basis,",1,1,1,1,1,1,1,7,Microsoft,rel,irr,,
"Our carbon negative commitment includes reducing these emissions and removing what we cannot reduce, which we do through a reduction strategy in campuses and datacenters, rethinking the design of our devices, and engaging with our supply chain.",1,1,1,1,1,1,1,7,Microsoft,irr,rel,,
"Depending on the type of site, the methodology uses capacity (MW) based coefficients by region or attendance to extrapolate waste for those locations where primary data is unavailable.",1,1,1,1,1,1,1,7,Microsoft,irr,irr,,general description that may be useful in broader context.
Bonsai enabled us to build a model and test recommendations in two to four weeks with comparable results.,1,1,1,1,1,1,1,7,Microsoft,rel,irr,,
"This highly efficient method can find high-performing architectures in minutes, enabling carbon savings compared to previous methods.",1,1,1,1,1,1,1,7,Microsoft,irr,irr,,
"By 2050, we΄ll remove an equivalent amount of carbon to all our historical emissions.",1,1,1,1,1,1,1,7,Microsoft,irr,rel,,
"This puts us on a path to exceed our commitment to protect more land than we use by more than 5,000 acres.",1,1,1,1,1,1,1,7,Microsoft,irr,rel,,
See Microsoft Carbon Removal - Lessons From an Early Corporate Purchase to learn more.,1,1,1,1,1,1,1,7,Microsoft,irr,irr,carbon removal,
"In our datacenters, we are reducing how much cement we use by utilizing longer 56-day cure times in lieu of typical 28-day cure times.",1,1,1,1,1,1,1,7,Microsoft,rel,rel,,
"5 With two floors of mass timber, the embodied carbon savings increases to approximately 36 percent with an estimated total of 372 kg CO2e per square meter.",1,1,1,1,1,1,1,7,Microsoft,irr,rel,,
"Removing carbon In January 2021, Microsoft announced that we had made the world’s largest purchase of carbon removal in history.",1,1,1,1,1,1,1,7,Microsoft,irr,rel,,
#NAME?,1,1,1,1,1,1,1,7,Microsoft,irr,irr,,incomplete sentence?
"Scope 2 Electricity (India) CO2: Baseline Carbon Dioxide Emission Database, Version 16.0.",1,1,0,1,1,1,1,6,Microsoft,irr,irr,,table?
"Powered by over 4,500 employees and a strong, scalable, and secure cloud infrastructure on Azure, Enova has achieved total savings of 320 million kWh of energy, 5 million cubic meters of water, and 210,000 tons of CO2 emissions.",1,1,0,1,1,1,1,6,Microsoft,irr,rel,,
"In FY21, our overall reuse of assets was 78 percent.",0,1,1,1,1,1,1,6,Microsoft,rel,rel,,
Zero Waste campus roadmaps Eleven campuses now have customized roadmaps to achieve zero waste by 2030.,1,1,0,1,1,1,1,6,Microsoft,irr,rel,,
"In a new effort, we are building tools for AI developers to predict the energy consumption of a neural network before deployment, so that more compute- and energy-efficient networks can be designed upfront.",1,1,1,1,0,1,1,6,Microsoft,irr,rel,,
"At our Silicon Valley campus, we are using resulting in the largest mass timber building Mass timber: mass timber, in the United States.",0,1,1,1,1,1,1,6,Microsoft,rel,irr,,
Microsoft has committed to be diesel-free by 2030.,1,1,1,1,1,0,1,6,Microsoft,irr,rel,,
"Appendix D (continued) Table 2 GHG emissions by type FY17 FY18 FY19 FY20 FY21 (mt) Scope 1 Scope 1 – CO2 82,448 81,263 95,667 96,700 94,292 Scope 1 – CH4 2 2 2 2 3 Scope 1 – N2O 1 1 1 1 1 Scope 1 – HFCs 23 17 20 19 27 Scope 1 – SF6 9 0 0 0 0 Scope 2 (Location-Based) Scope 2 – CO2 2,684,866 2,929,720 3,537,892 4,079,782 4,720,190 Scope 2 – CH4 64 188 222 271 318 Scope 2 – N2O 37 39 47 53 57 Scope 2 (Market-Based) Scope 2 – CO2 138,411 182,313 273,900 226,933 163,354 Scope 2 – CH4 3 12 17 15 6 Scope 2 – N2O 2 2 4 3 1 (mtCO2e) Scope 1 107,451 99,009 117,956 118,100 123,704 Scope 1 – CO2 82,448 81,263 95,667 96,700 94,292 Scope 1 – CH4 45 45 50 53 63 Scope 1 – N2O 248 261 256 236 150 Scope 1 – HFCs 24,710 17,408 21,951 21,070 29,177 Scope 1 – SF6 8 – 32 32 41 22 Scope 2 (Location-Based) 2,697,554 2,946,043 3,557,518 4,102,445 4,745,197 Scope 2 – CO2 2,684,866 2,929,720 3,537,892 4,079,782 4,720,190 Scope 2 – CH4 1,605 4,700 5,550 6,768 7,942 Scope 2 – N2O 11,083 11,623 14,076 15,895 17,065 Scope 2 (Market-Based) 139,066 183,329 275,420 228,194 163,935 Scope 2 – CO2 138,411 182,313 273,900 226,933 163,354 Scope 2 – CH4 84 293 430 377 150 Scope 2 – N2O 571 723 1,090 884 431 8 In FY18 the estimating of SF6 leakage at datacenters began.",1,1,1,1,0,1,1,6,Microsoft,irr,rel,,
"Carbon negative “The key to addressing climate change at a company like Microsoft is to partner with every industry to understand how it functions, discern the elements vital to its success, share and adapt solutions, and help our customers chart an informed path to decarbonization.” Brad Smith, President and Vice Chair Contents Our approach 16 Getting to carbon negative 20 Reducing Scope 1 and 2 emissions 21 Feature story: 100/100/0 carbon-free energy 23 Reducing Scope 3 emissions 25 Removing carbon 30 Driving transformation 31 Enabling systems change 34 Key trends 41 What’s next?",1,1,0,1,0,1,1,5,Microsoft,irr,rel,,
"In our Silicon Valley campus, thermal energy storage tanks will support the closed loop water system that provides all heating and cooling needs for the campus.",0,0,1,1,1,1,1,5,Microsoft,rel,rel,,
Providing Guidance We provide guidance to suppliers which starts with asking them to know their on-farm GHG emissions footprint and share their plans for reduction by 2025.,1,1,1,1,1,1,1,7,Mondelez_Intl,irr,rel,,
"zero, In the goals, which is subject to verification by the SBTi (by 2023 latest).",1,1,1,1,1,1,1,7,Mondelez_Intl,rel,rel,,incomplete sentence
The Alltech E-CO2e model is accredited by the Carbon Trust.,1,1,1,1,0,1,1,6,Mondelez_Intl,irr,irr,,
Usage at these sites is 56% of our total water usage.,1,1,0,1,1,1,1,6,Mondelez_Intl,irr,rel,,
"Offering Our First Ever Green Bond In September 2021, we announced the successful pricing of our first green bond – totalling €2 billion, it was the largest green bond issuance to date in the packaged foods and consumer goods industry.",0,1,1,1,1,1,1,6,Mondelez_Intl,rel,rel,green bond,
"Our East Suzhou plant, in China, is using the 200°C air emitted by its ovens to heat water and generate savings across the refrigeration process and other systems – saving 334 metric tonnes of CO2e.",0,1,1,1,1,1,0,5,Mondelez_Intl,rel,rel,,
